"Title","Country","Longitude","Latitude"
"Frida","Canada",-113.64258,60.10867
"Frida","Mexico",-102,23
"They","Canada",-113.64258,60.10867
"Analyze That","Australia",135,-25
"The Lord of the Rings: The Two Towers","New Zealand",174,-42
"Two Weeks Notice","Australia",135,-25
"Gangs of New York","Italy",12.83333,42.83333
"Evelyn","Germany",10.5,51.5
"Evelyn","Ireland",-8,53
"Evelyn","UK",-2.69531,54.75844
"Evelyn","Netherlands",5.75,52.5
"Pinocchio","Italy",12.83333,42.83333
"Catch Me If You Can","Canada",-113.64258,60.10867
"Far from Heaven","France",2,46
"Narc","Canada",-113.64258,60.10867
"Chicago","Germany",10.5,51.5
"Chicago","Canada",-113.64258,60.10867
"Confessions of a Dangerous Mind","Germany",10.5,51.5
"Confessions of a Dangerous Mind","Canada",-113.64258,60.10867
"The Guru","UK",-2.69531,54.75844
"The Guru","France",2,46
"The Hours","UK",-2.69531,54.75844
"Dark Blue","UK",-2.69531,54.75844
"Dark Blue","Germany",10.5,51.5
"Boat Trip","Germany",10.5,51.5
"Raising Victor Vargas","France",2,46
"The Dancer Upstairs","Spain",-4,40
"Nicholas Nickleby","UK",-2.69531,54.75844
"Bend It Like Beckham","UK",-2.69531,54.75844
"Bend It Like Beckham","Germany",10.5,51.5
"Assassination Tango","Argentina",-64,-34
"Darkness","Spain",-4,40
"Darkness Falls","Australia",135,-25
"Final Destination 2","Canada",-113.64258,60.10867
"How to Lose a Guy in 10 Days","Germany",10.5,51.5
"Shanghai Knights","Hong Kong",114.1577,22.28552
"The Jungle Book 2","Australia",135,-25
"The Life of David Gale","Germany",10.5,51.5
"The Life of David Gale","UK",-2.69531,54.75844
"Agent Cody Banks","Canada",-113.64258,60.10867
"Willard","Canada",-113.64258,60.10867
"Dreamcatcher","Australia",135,-25
"Basic","Germany",10.5,51.5
"The Core","Germany",10.5,51.5
"The Core","Canada",-113.64258,60.10867
"A Man Apart","Germany",10.5,51.5
"Bulletproof Monk","Canada",-113.64258,60.10867
"Confidence","Canada",-113.64258,60.10867
"Confidence","Germany",10.5,51.5
"X-Men 2","Canada",-113.64258,60.10867
"The Matrix Reloaded","Australia",135,-25
"The Shape of Things","France",2,46
"The Shape of Things","UK",-2.69531,54.75844
"The In-Laws","Germany",10.5,51.5
"The In-Laws","Canada",-113.64258,60.10867
"The Italian Job","France",2,46
"The Italian Job","UK",-2.69531,54.75844
"Wrong Turn","Germany",10.5,51.5
"2 Fast 2 Furious","Germany",10.5,51.5
"Terminator 3: Rise of the Machines","Germany",10.5,51.5
"Terminator 3: Rise of the Machines","UK",-2.69531,54.75844
"The League of Extraordinary Gentlemen","Germany",10.5,51.5
"The League of Extraordinary Gentlemen","Czech Republic",15,49.75
"The League of Extraordinary Gentlemen","UK",-2.69531,54.75844
"Johnny English","UK",-2.69531,54.75844
"Johnny English","France",2,46
"Lara Croft Tomb Raider: The Cradle of Life","Germany",10.5,51.5
"Lara Croft Tomb Raider: The Cradle of Life","Japan",139.75309,35.68536
"Lara Croft Tomb Raider: The Cradle of Life","UK",-2.69531,54.75844
"American Wedding","Germany",10.5,51.5
"Masked and Anonymous","UK",-2.69531,54.75844
